Step: 100, Loss: 0.162391, LR: 0.00e+00, Time: 1.094s
Step: 200, Loss: 0.162469, LR: 0.00e+00, Time: 1.090s
Step: 300, Loss: 0.161802, LR: 0.00e+00, Time: 1.099s
Step: 400, Loss: 0.158994, LR: 0.00e+00, Time: 1.134s
Step: 500, Loss: 0.157493, LR: 0.00e+00, Time: 1.130s
Step: 600, Loss: 0.161050, LR: 0.00e+00, Time: 1.128s
Step: 700, Loss: 0.164556, LR: 0.00e+00, Time: 1.118s
Step: 800, Loss: 0.165250, LR: 0.00e+00, Time: 1.111s
Step: 900, Loss: 0.162710, LR: 0.00e+00, Time: 1.122s
Step: 1000, Loss: 0.161418, LR: 0.00e+00, Time: 1.127s
Step: 1100, Loss: 0.162573, LR: 0.00e+00, Time: 1.122s
Step: 1200, Loss: 0.164535, LR: 0.00e+00, Time: 1.123s
Step: 1300, Loss: 0.163674, LR: 0.00e+00, Time: 1.120s
Step: 1400, Loss: 0.163985, LR: 0.00e+00, Time: 1.129s
Step: 1500, Loss: 0.164002, LR: 0.00e+00, Time: 1.126s
Step: 1600, Loss: 0.164545, LR: 0.00e+00, Time: 1.122s
Step: 1700, Loss: 0.164164, LR: 0.00e+00, Time: 1.131s
Step: 1800, Loss: 0.164182, LR: 0.00e+00, Time: 1.123s
Step: 1900, Loss: 0.162561, LR: 0.00e+00, Time: 1.111s
Step: 2000, Loss: 0.162162, LR: 0.00e+00, Time: 1.125s
Step: 2100, Loss: 0.162012, LR: 0.00e+00, Time: 1.111s
Step: 2200, Loss: 0.161606, LR: 0.00e+00, Time: 1.124s
Step: 2300, Loss: 0.162706, LR: 0.00e+00, Time: 1.125s
Step: 2400, Loss: 0.163037, LR: 0.00e+00, Time: 1.133s
Step: 2500, Loss: 0.163170, LR: 0.00e+00, Time: 1.127s
Step: 2600, Loss: 0.164321, LR: 0.00e+00, Time: 1.119s
Step: 2700, Loss: 0.165717, LR: 0.00e+00, Time: 1.123s
Step: 2800, Loss: 0.163439, LR: 0.00e+00, Time: 1.126s
Step: 2900, Loss: 0.164387, LR: 0.00e+00, Time: 1.117s
Step: 3000, Loss: 0.166389, LR: 0.00e+00, Time: 1.116s
Step: 3100, Loss: 0.164739, LR: 0.00e+00, Time: 1.117s
Step: 3200, Loss: 0.164411, LR: 0.00e+00, Time: 1.118s
Step: 3300, Loss: 0.163225, LR: 0.00e+00, Time: 1.116s
Step: 3400, Loss: 0.163296, LR: 0.00e+00, Time: 1.147s
Step: 3500, Loss: 0.163363, LR: 0.00e+00, Time: 1.125s
Step: 3600, Loss: 0.163182, LR: 0.00e+00, Time: 1.113s
Step: 3700, Loss: 0.164823, LR: 0.00e+00, Time: 1.109s
Step: 3800, Loss: 0.164418, LR: 0.00e+00, Time: 1.120s
Step: 3900, Loss: 0.164378, LR: 0.00e+00, Time: 1.130s
Step: 4000, Loss: 0.164286, LR: 0.00e+00, Time: 1.124s
Step: 4100, Loss: 0.165290, LR: 0.00e+00, Time: 1.116s
Step: 4200, Loss: 0.163815, LR: 0.00e+00, Time: 1.128s
Step: 4300, Loss: 0.163692, LR: 0.00e+00, Time: 1.118s
Step: 4400, Loss: 0.163093, LR: 0.00e+00, Time: 1.113s
Step: 4500, Loss: 0.163550, LR: 0.00e+00, Time: 1.126s
Step: 4600, Loss: 0.164680, LR: 0.00e+00, Time: 1.132s
Step: 4700, Loss: 0.164756, LR: 0.00e+00, Time: 1.116s
Step: 4800, Loss: 0.166095, LR: 0.00e+00, Time: 1.115s
Step: 4900, Loss: 0.166649, LR: 0.00e+00, Time: 1.118s
Step: 5000, Loss: 0.164588, LR: 0.00e+00, Time: 1.106s
Step: 5100, Loss: 0.165142, LR: 0.00e+00, Time: 1.126s
Step: 5200, Loss: 0.168220, LR: 0.00e+00, Time: 1.135s
Step: 5300, Loss: 0.166816, LR: 0.00e+00, Time: 1.117s
Step: 5400, Loss: 0.166241, LR: 0.00e+00, Time: 1.116s
Step: 5500, Loss: 0.166449, LR: 0.00e+00, Time: 1.115s
Step: 5600, Loss: 0.165803, LR: 0.00e+00, Time: 1.128s
Step: 5700, Loss: 0.164419, LR: 0.00e+00, Time: 1.124s
Step: 5800, Loss: 0.162195, LR: 0.00e+00, Time: 1.122s
Step: 5900, Loss: 0.158754, LR: 0.00e+00, Time: 1.124s
Step: 6000, Loss: 0.158114, LR: 0.00e+00, Time: 1.112s
Step: 6100, Loss: 0.159184, LR: 0.00e+00, Time: 1.122s
Step: 6200, Loss: 0.160853, LR: 0.00e+00, Time: 1.130s
Step: 6300, Loss: 0.162680, LR: 0.00e+00, Time: 1.128s
Step: 6400, Loss: 0.162411, LR: 0.00e+00, Time: 1.115s
Step: 6500, Loss: 0.164590, LR: 0.00e+00, Time: 1.117s
Step: 6600, Loss: 0.164933, LR: 0.00e+00, Time: 1.127s
Step: 6700, Loss: 0.161837, LR: 0.00e+00, Time: 1.128s
Step: 6800, Loss: 0.160289, LR: 0.00e+00, Time: 1.122s
Step: 6900, Loss: 0.162283, LR: 0.00e+00, Time: 1.119s
Step: 7000, Loss: 0.160102, LR: 0.00e+00, Time: 1.134s
Step: 7100, Loss: 0.162060, LR: 0.00e+00, Time: 1.126s
Step: 7200, Loss: 0.162918, LR: 0.00e+00, Time: 1.114s
Step: 7300, Loss: 0.162781, LR: 0.00e+00, Time: 1.128s
Step: 7400, Loss: 0.161958, LR: 0.00e+00, Time: 1.123s
Step: 7500, Loss: 0.162082, LR: 0.00e+00, Time: 1.134s
Step: 7600, Loss: 0.161603, LR: 0.00e+00, Time: 1.121s
Step: 7700, Loss: 0.161035, LR: 0.00e+00, Time: 1.116s
Step: 7800, Loss: 0.160249, LR: 0.00e+00, Time: 1.124s
Step: 7900, Loss: 0.160787, LR: 0.00e+00, Time: 1.120s
Step: 8000, Loss: 0.161391, LR: 0.00e+00, Time: 1.121s
Step: 8100, Loss: 0.162745, LR: 0.00e+00, Time: 1.137s
Step: 8200, Loss: 0.164309, LR: 0.00e+00, Time: 1.111s
Step: 8300, Loss: 0.163839, LR: 0.00e+00, Time: 1.126s
Step: 8400, Loss: 0.163822, LR: 0.00e+00, Time: 1.119s
Step: 8500, Loss: 0.163518, LR: 0.00e+00, Time: 1.128s
Step: 8600, Loss: 0.161272, LR: 0.00e+00, Time: 1.122s
Step: 8700, Loss: 0.160776, LR: 0.00e+00, Time: 1.119s
Step: 8800, Loss: 0.159744, LR: 0.00e+00, Time: 1.126s
Step: 8900, Loss: 0.158604, LR: 0.00e+00, Time: 1.122s
Step: 9000, Loss: 0.160823, LR: 0.00e+00, Time: 1.121s
Step: 9100, Loss: 0.161633, LR: 0.00e+00, Time: 1.124s
Step: 9200, Loss: 0.162087, LR: 0.00e+00, Time: 1.123s
Step: 9300, Loss: 0.162013, LR: 0.00e+00, Time: 1.128s
Step: 9400, Loss: 0.162004, LR: 0.00e+00, Time: 1.112s
Step: 9500, Loss: 0.162043, LR: 0.00e+00, Time: 1.124s
Step: 9600, Loss: 0.159463, LR: 0.00e+00, Time: 1.124s
Step: 9700, Loss: 0.160509, LR: 0.00e+00, Time: 1.122s
Step: 9800, Loss: 0.161071, LR: 0.00e+00, Time: 1.116s
Step: 9900, Loss: 0.161813, LR: 0.00e+00, Time: 1.129s
Step: 10000, Loss: 0.161751, LR: 0.00e+00, Time: 1.118s
